tickers,name,sector,market,8월1일psr,8월1일pbr2,8월1일_s_return,8월1일_l_return,순매수강도(20일),s_growth,l_growth,roe,deb,3주후 수익률,수익률상위권2,cluster8월1일_6차와같은방식
a137310,에스디바이오센서,건강관리,kospi,0.448874368,0.434108527,-0.4028436018957346,0.0104250200481154,-0.10162892278889593,0.000682594,2.424630356,35.3,10.69,0.085271318,1,3
a310210,보로노이,건강관리,kosdaq,87.5026039,24.24657143,0.2085561497326203,0.1133004926108374,-0.01341914933646495,-0.337837838,2.196697983,-96.66,86.67,0.614285714,1,3
a151860,KGETS,철강,kosdaq,0.086064479,0.51511284,-0.2896634615384615,0.031413612565445,0.0307392473923268,0.448849817,2.132179639,85.81,96.64,-0.080155642,0,3
a376300,디어유,소프트웨어,kosdaq,17.44193856,6.038438662,-0.1514084507042253,0.0343347639484978,-0.051714886105740376,0.23,2.070238126,12.38,8.01,-0.104089219,0,3
a253840,수젠텍,건강관리,kosdaq,1.242736441,0.897125382,-0.1023255813953488,0.0320855614973262,0.06381288287405786,0.313471503,1.988258197,22.14,23.28,0.180428135,1,3
a229000,젠큐릭스,건강관리,kosdaq,21.36279074,5.230741935,-0.0255813953488372,0.0345679012345679,-0.0013197247723219364,-0.133333333,1.962496068,-131.3,556.39,0.351612903,1,3
a950130,엑세스바이오,건강관리,kosdaq,0.289428323,0.0,-0.129883843717001,0.0048780487804878,0.02621965618100521,1.046921402,1.884034304,76.64,41.43,0.052362708,1,3
a348150,고바이오랩,건강관리,kosdaq,15.78107049,2.183671498,-0.2712246431254695,0.0275423728813559,0.030539038854800554,3.0,1.68391596,-26.11,29.83,-0.062801932,0,3
a066980,이엔코퍼레이션,건설,kosdaq,0.562413737,1.428676471,0.3425925925925926,-0.0176151761517615,-0.03854810731406069,0.916221034,1.672274114,-4.0,155.06,0.066176471,1,3
a322510,제이엘케이,건강관리,kosdaq,156.8733812,29.78301887,4.789473684210527,0.1,-0.011155330465398561,-0.105263158,1.571281591,-44.28,118.87,1.075471698,1,3
a298380,에이비엘바이오,건강관리,kosdaq,13.71583176,13.25422833,-0.0900943396226415,0.0282515991471215,-0.024414372981735082,11.69811321,1.562428116,5.11,166.4,0.019556025,1,3
a315640,딥노이드,소프트웨어,kosdaq,57.53330245,18.47507909,1.2976744186046512,0.0845225027442371,-0.0003780512286868709,2.555555556,1.5198421,-44.99,45.76,0.736379613,1,0
a036620,감성코퍼레이션,"화장품, 의류",kosdaq,3.122197195,7.140326087,0.4128919860627177,-0.0049079754601227,0.01187745945928906,1.400817996,1.512727883,37.7,64.87,-0.118478261,0,3
a009810,플레이그램,"소매, 유통",kospi,0.670916832,1.012401575,-0.1503667481662591,0.0,-0.03613470345861479,2.218137255,1.46184488,2.05,65.43,-0.087926509,0,3
a005935,삼성전자우,반도체,kospi,0.015818925,0.0,0.0430879712746858,0.0051903114186851,0.16216057748629542,9.809225736,1.358404778,17.07,26.41,-0.020236088,0,0
a066970,엘앤에프,IT가전,kosdaq,2.307345602,6.436046512,-0.0642722117202268,0.0122699386503067,-0.06148581834114197,3.004223321,1.315061617,28.26,135.26,0.046511628,1,3
a348210,넥스틴,반도체,kosdaq,8.00485984,8.931692308,0.3543543543543543,0.0763723150357995,0.037417938732493654,1.012259194,1.303548665,52.53,21.63,0.261538462,1,0
a377740,바이오노트,건강관리,kospi,1.211722897,0.364971751,-0.0776699029126213,-0.0256410256410256,0.16725676453917168,-0.229273779,1.288951421,21.48,9.8,0.073446328,1,0
a052300,초록뱀컴퍼니,"미디어, 교육",kosdaq,0.193976022,0.210983607,-0.2319474835886214,0.0446428571428571,-0.025777682922147195,2.820284698,1.284826251,-41.77,55.81,-0.040983607,0,3
a018700,바른손,"화장품, 의류",kosdaq,1.118208277,1.097540426,-0.2371428571428571,0.021311475409836,-0.05057684502627748,0.648876404,1.16306732,-39.73,50.99,-0.204680851,0,3
a005090,SGC에너지,에너지,kospi,0.128403641,0.508969697,-0.1683501683501683,0.0040650406504065,-0.10730965928553624,0.487199747,1.149698986,17.44,252.5,-0.002020202,0,3
a425040,티이엠씨,반도체,kosdaq,1.516721418,4.422155009,0.2273838630806846,0.148741418764302,-0.03196564905750461,2.899113082,1.129889119,61.17,101.33,-0.051039698,0,0
